JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	JOURNAL AN	AN000001	20240901	44860000	ETAT AUTRES CHARGES A PAYER			CEX0924	20240901	S.A.N.	0,00	5195,52			20250831		
AN	JOURNAL AN	AN000001	20240901	45510000	C/C FABRICE MOLA			CEX0924	20240901	S.A.N.	0,00	14138,90			20250831		
AN	JOURNAL AN	AN000001	20240901	46700000	DEBITEURS CREDIT.DIVERS			CEX0924	20240901	S.A.N.	0,00	7178,00			20250831		
AN	JOURNAL AN	AN000001	20240901	48600000	CHARGES CONSTATEES D'AVANCE			CEX0924	20240901	S.A.N.	895,62	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	48700000	PRODUIT CONSTATEE AVANCE			CEX0924	20240901	S.A.N.	0,00	57520,00			20250831		
AN	JOURNAL AN	AN000001	20240901	49100000	PROVISION CREANCES DOUTEUSES			CEX0924	20240901	S.A.N.	0,00	26078,00			20250831		
AN	JOURNAL AN	AN000001	20240901	50300000	COMPTE DAT			CEX0924	20240901	S.A.N.	50000,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	50310000	FCP INVESTISSEMENT			CEX0924	20240901	S.A.N.	200000,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	51220000	BANQUE BNP PARIBAS			CEX0924	20240901	S.A.N.	110532,82	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	12000000	RESULTAT DE L'EXERCICE			SAN107	20240901	S.A.N.	0,00	12259,29			20250831		
AC	ACHATS	AC000001	20240901	40100900	COLLECTIFS FOURNISSEURS  	0WELYB	WELYB	x	20240901	9/24 WELYB	0,00	252,00			20250831		
AC	ACHATS	AC000001	20240901	61330400	WELYB			x	20240901	9/24 WELYB	210,00	0,00			20250831		
AC	ACHATS	AC000001	20240901	44566000	TVA SUR ACHAT			x	20240901	9/24 WELYB	42,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000001	20240901	41100900	COLLECTIFS CLIENTS       	90006190	ESLV	x	20240901	impayé prl 20/12/23 ESLV	1380,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000001	20240901	41100900	COLLECTIFS CLIENTS       	90006607	ZENAURA	x	20240901	impayé prl 20/12/23  ZENAURA	500,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000001	20240901	41100900	COLLECTIFS CLIENTS       	90006363	STEP2	x	20240901	annul impayé affectation	0,00	900,00			20250831		
OD	OPERATIONS DIVERSES	OD000001	20240901	47130000	PL IMPAYE			x	20240901	annul impayé affectation	0,00	980,00			20250831		
OD	OPERATIONS DIVERSES	OD000002	20240901	41100900	COLLECTIFS CLIENTS       	90006569	SYLVIE BOULANGERIE PATISSERIE	x	20240901	annul impayé affectation	0,00	900,00			20250831		
OD	OPERATIONS DIVERSES	OD000002	20240901	41100900	COLLECTIFS CLIENTS       	90006363	STEP2	x	20240901	impayé prél 20/12/23 STEP2	900,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000003	20240901	41100900	COLLECTIFS CLIENTS       	90006398	HOLDING CHOUQUET	x	20240901	annul impé affactation	0,00	960,00			20250831		
OD	OPERATIONS DIVERSES	OD000003	20240901	41100900	COLLECTIFS CLIENTS       	90006561	SCI LES MERVEILLEUSES	x	20240901	impayé prel 20/12/23 SCI LES M	960,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000004	20240901	41100900	COLLECTIFS CLIENTS       	90006332	MDB & CO	x	20240901	annul prl affectation MDB & CO	0,00	480,00			20250831		
OD	OPERATIONS DIVERSES	OD000004	20240901	47130000	PL IMPAYE			x	20240901	annul prl affectation MDB & CO	0,00	657,60			20250831		
OD	OPERATIONS DIVERSES	OD000004	20240901	41100900	COLLECTIFS CLIENTS       	90006607	ZENAURA	x	20240901	impayé prel 24/1/2024  ZENAURA	597,60	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000004	20240901	41100900	COLLECTIFS CLIENTS       	90006385	MONSIEUR OLIVEIRA STEPHANE	x	20240901	impayé prel 24/1/2024  oliveir	540,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000005	20240901	41100900	COLLECTIFS CLIENTS       	90006155	SIBILLE DENIS	x	20240901	REGUL  SIBILLE DENIS	0,00	750,00			20250831		
OD	OPERATIONS DIVERSES	OD000005	20240901	65400000	PERTE S/CREANCE IRRECOUVRABLES			x	20240901	REGUL  SIBILLE DENIS	625,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000005	20240901	44571100	TVA COLLECTEE 20%			x	20240901	REGUL  SIBILLE DENIS	125,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000006	20240901	40100900	COLLECTIFS FOURNISSEURS  	0CAUDIT	CAUDIT	x	20240901	REGUL  CAUDIT	660,00	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000006	20240901	77200000	PRODUIT SUR EX ANTERIEURS			x	20240901	REGUL  CAUDIT	0,00	550,00			20250831		
OD	OPERATIONS DIVERSES	OD000006	20240901	44566000	TVA SUR ACHAT			x	20240901	REGUL  CAUDIT	0,00	110,00			20250831		
OD	OPERATIONS DIVERSES	OD000007	20240901	40100900	COLLECTIFS FOURNISSEURS  	0MALCH	MALCH REGIE	x	20240901	REGUL MALCH	0,00	186,84			20250831		
OD	OPERATIONS DIVERSES	OD000007	20240901	61400000	CHARGES DE LOCATION N°45			x	20240901	REGUL MALCH	186,84	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000008	20240901	48600000	CHARGES CONSTATEES D'AVANCE			x	20240901	ext cca	0,00	895,62			20250831		
OD	OPERATIONS DIVERSES	OD000008	20240901	67200000	CHARGES S/EXER.ANTERIEURS			x	20240901	ext cca	895,62	0,00			20250831		
OD	OPERATIONS DIVERSES	OD000009	20240901	46700000	DEBITEURS CREDIT.DIVERS			x	20240901	Regul c/c fm	7178,00	0,00			20250831		
